timestamp,ofi_lvl_0,ofi_lvl_1,ofi_lvl_2,ofi_lvl_3,ofi_lvl_4,ofi_lvl_5,ofi_lvl_6,ofi_lvl_7,ofi_lvl_8,ofi_lvl_9,symbol,integrated_ofi,best_ofi,cross_asset_ofi
2024-10-21 11:56:51+00:00,0.0,200.0,200.0,200.0,25.0,30.0,200.0,44.0,154.0,400.0,AAPL,-379.9013433344268,0.0,0.0
2024-10-21 11:56:55+00:00,0.0,0.0,-200.0,-200.0,-25.0,-30.0,-200.0,-44.0,-154.0,-400.0,AAPL,411.99176164753044,0.0,0.0
2024-10-21 11:57:04+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:06+00:00,1.0,27.0,10.0,400.0,15.0,110.0,10.0,110.0,100.0,55.0,AAPL,-288.30981539221426,1.0,0.0
2024-10-21 11:57:07+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:08+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:10+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:14+00:00,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.34748805510595,0.0,0.0
2024-10-21 11:57:15+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:17+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:20+00:00,20.0,201.0,8.0,350.0,25.0,30.0,200.0,44.0,154.0,400.0,AAPL,-397.49087613298985,20.0,0.0
2024-10-21 11:57:22+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:57:23+00:00,-1.0,-239.0,-610.0,-200.0,-15.0,-110.0,-10.0,-110.0,-100.0,-55.0,AAPL,511.0691313303214,-1.0,0.0
2024-10-21 11:57:25+00:00,200.0,210.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,19.481337216597918,200.0,0.0
2024-10-21 11:57:26+00:00,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,34.28292746499956,200.0,0.0
2024-10-21 11:57:28+00:00,-200.0,400.0,-200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-93.24739184642502,-200.0,0.0
2024-10-21 11:57:29+00:00,0.0,0.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,81.28143991378066,0.0,0.0
2024-10-21 11:57:30+00:00,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,34.28292746499956,200.0,0.0
2024-10-21 11:57:31+00:00,0.0,500.0,201.0,8.0,350.0,25.0,30.0,200.0,44.0,154.0,AAPL,-415.5524019628136,0.0,0.0
2024-10-21 11:57:36+00:00,-220.0,-500.0,-201.0,-8.0,-350.0,-25.0,-30.0,-200.0,-44.0,-154.0,AAPL,507.61915114225513,-220.0,0.0
2024-10-21 11:57:37+00:00,1.0,200.0,10.0,27.0,15.0,110.0,10.0,110.0,100.0,55.0,AAPL,-144.09933833759047,1.0,0.0
2024-10-21 11:57:38+00:00,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-9.773442780748383,0.0,0.0
2024-10-21 11:57:40+00:00,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,42.37023306410972,0.0,0.0
2024-10-21 11:57:41+00:00,0.0,-200.0,-10.0,174.0,185.0,-85.0,20.0,90.0,-56.0,99.0,AAPL,-71.94412430254849,0.0,0.0
2024-10-21 11:57:42+00:00,0.0,0.0,600.0,26.0,15.0,110.0,10.0,110.0,100.0,55.0,AAPL,-274.3953627578904,0.0,0.0
2024-10-21 11:57:48+00:00,0.0,0.0,200.0,3.0,-400.0,-27.0,-30.0,-200.0,-44.0,-154.0,AAPL,262.7657947901766,0.0,0.0
2024-10-21 11:57:51+00:00,0.0,0.0,0.0,0.0,200.0,25.0,29.0,200.0,44.0,154.0,AAPL,-155.82735216721207,0.0,0.0
2024-10-21 11:57:52+00:00,0.0,0.0,0.0,0.0,-400.0,-25.0,-29.0,-200.0,-44.0,-154.0,AAPL,325.09295990482565,0.0,0.0
2024-10-21 11:57:58+00:00,0.0,0.0,0.0,0.0,200.0,25.0,29.0,200.0,44.0,154.0,AAPL,-155.82735216721207,0.0,0.0
2024-10-21 11:58:06+00:00,0.0,0.0,200.0,-200.0,-200.0,4.0,-29.0,-200.0,-44.0,-154.0,AAPL,267.5544084863305,0.0,0.0
2024-10-21 11:58:14+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:58:18+00:00,65.0,0.0,0.0,200.0,0.0,200.0,0.0,200.0,44.0,154.0,AAPL,-235.353139377002,65.0,0.0
2024-10-21 11:58:19+00:00,0.0,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,AAPL,-98.739469230977,0.0,0.0
2024-10-21 11:58:21+00:00,0.0,200.0,10.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,AAPL,65.88023155087127,0.0,0.0
2024-10-21 11:58:32+00:00,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-9.773442780748383,0.0,0.0
2024-10-21 11:58:37+00:00,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,AAPL,-115.62916909255013,0.0,0.0
2024-10-21 11:58:40+00:00,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,43.382977004625296,0.0,0.0
2024-10-21 11:58:50+00:00,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,AAPL,-115.62916909255013,0.0,0.0
2024-10-21 11:58:53+00:00,-215.0,100.0,493.0,260.0,-389.0,-386.0,-102.0,-124.0,-78.0,-344.0,AAPL,207.47043286871258,-215.0,0.0
2024-10-21 11:58:54+00:00,-40.0,-41.0,-401.0,-410.0,-36.0,-14.0,75.0,-76.0,34.0,190.0,AAPL,359.24008413571363,-40.0,0.0
2024-10-21 11:58:58+00:00,-99.0,93.0,138.0,211.0,-417.0,-212.0,-134.0,-188.0,-444.0,-301.0,AAPL,391.69678312204235,-99.0,0.0
2024-10-21 11:58:59+00:00,-38.0,-39.0,-401.0,-226.0,-9.0,175.0,-81.0,34.0,280.0,-209.0,AAPL,211.08538206381942,-38.0,0.0
2024-10-21 11:59:00+00:00,0.0,0.0,4.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-60.64766926233721,0.0,0.0
2024-10-21 11:59:01+00:00,0.0,370.0,-3.0,790.0,-15.0,-110.0,-10.0,-110.0,-100.0,-55.0,AAPL,-335.2480484191764,0.0,0.0
2024-10-21 11:59:02+00:00,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-9.773442780748383,0.0,0.0
2024-10-21 11:59:05+00:00,0.0,200.0,0.0,10.0,15.0,110.0,10.0,110.0,100.0,55.0,AAPL,-132.3602694134825,0.0,0.0
2024-10-21 11:59:22+00:00,0.0,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-111.04783683230498,0.0,0.0
2024-10-21 11:59:24+00:00,0.0,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,143.13825514540852,0.0,0.0
2024-10-21 11:59:29+00:00,0.0,200.0,0.0,1200.0,28.0,0.0,0.0,0.0,0.0,0.0,AAPL,-629.3951110670752,0.0,0.0
2024-10-21 11:59:30+00:00,192.0,-173.0,175.0,-400.0,-28.0,-200.0,-44.0,-154.0,-400.0,-1.0,AAPL,471.31781067720016,192.0,0.0
2024-10-21 11:59:33+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:59:40+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 11:59:44+00:00,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-9.773442780748383,0.0,0.0
2024-10-21 11:59:56+00:00,0.0,0.0,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-19.486582167518165,0.0,0.0
2024-10-21 11:59:57+00:00,0.0,200.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-9.267070810490605,0.0,0.0
2024-10-21 11:59:58+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 12:00:01+00:00,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-9.773442780748383,0.0,0.0
2024-10-21 12:00:02+00:00,0.0,173.0,-201.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-151.28704707712902,0.0,0.0
2024-10-21 12:00:03+00:00,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-61.4107466553487,0.0,0.0
2024-10-21 12:00:04+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 12:00:06+00:00,0.0,-400.0,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,24.517679141378213,0.0,0.0
2024-10-21 12:00:07+00:00,-1.0,-436.0,588.0,-12.0,-15.0,-110.0,-10.0,-110.0,-100.0,-55.0,AAPL,96.21162200088864,-1.0,0.0
2024-10-21 12:00:08+00:00,0.0,200.0,-400.0,-28.0,-110.0,-10.0,-110.0,-100.0,-55.0,-1.0,AAPL,248.00093722812778,0.0,0.0
2024-10-21 12:00:11+00:00,0.0,200.0,15.0,29.0,110.0,10.0,110.0,100.0,55.0,1.0,AAPL,-148.97982543899866,0.0,0.0
2024-10-21 12:00:14+00:00,0.0,0.0,-15.0,-29.0,-110.0,-10.0,-110.0,-100.0,-55.0,-1.0,AAPL,181.07024375210221,0.0,0.0
2024-10-21 12:00:15+00:00,0.0,-200.0,571.0,26.0,110.0,10.0,110.0,100.0,55.0,1.0,AAPL,-216.1480481229502,0.0,0.0
2024-10-21 12:00:16+00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-19.992954137775943,0.0,0.0
2024-10-21 12:00:30+00:00,0.0,200.0,-200.0,-26.0,-110.0,-10.0,-110.0,-100.0,-55.0,-1.0,AAPL,185.13137805598427,0.0,0.0
2024-10-21 12:00:31+00:00,0.0,-200.0,200.0,26.0,110.0,10.0,110.0,100.0,55.0,1.0,AAPL,-101.40365586828047,0.0,0.0
2024-10-21 12:00:34+00:00,0.0,200.0,-198.0,-26.0,-110.0,-10.0,-110.0,-100.0,-55.0,-1.0,AAPL,184.51280990366803,0.0,0.0
2024-10-21 12:00:35+00:00,0.0,-200.0,200.0,28.0,110.0,10.0,110.0,100.0,55.0,1.0,AAPL,-102.41639980879606,0.0,0.0
2024-10-21 12:00:40+00:00,0.0,-400.0,-25.0,-26.0,-310.0,-54.0,-264.0,-500.0,-56.0,-601.0,AAPL,656.244277751039,0.0,0.0
2024-10-21 12:00:51+00:00,501.0,160.0,666.0,430.0,310.0,54.0,264.0,500.0,56.0,601.0,AAPL,-932.3673984556019,501.0,0.0
2024-10-21 12:00:52+00:00,0.0,0.0,200.0,-159.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,60.52018913321154,0.0,0.0
2024-10-21 12:00:53+00:00,0.0,0.0,200.0,-26.0,0.0,27.0,0.0,0.0,0.0,0.0,AAPL,-17.45806244865574,0.0,0.0
2024-10-21 12:00:57+00:00,0.0,0.0,0.0,0.0,27.0,-27.0,0.0,0.0,0.0,0.0,AAPL,40.94702608219626,0.0,0.0
2024-10-21 12:00:58+00:00,0.0,0.0,0.0,-15.0,-137.0,-10.0,-110.0,-100.0,-55.0,-1.0,AAPL,180.88938957535896,0.0,0.0
2024-10-21 12:01:00+00:00,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,103.72067632547981,0.0,0.0
2024-10-21 12:01:01+00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-19.992954137775943,0.0,0.0
2024-10-21 12:01:02+00:00,0.0,0.0,800.0,415.0,167.0,210.0,154.0,254.0,455.0,2.0,AAPL,-791.6343985128575,0.0,0.0
2024-10-21 12:01:04+00:00,0.0,-200.0,400.0,-27.0,-57.0,-172.0,-16.0,-44.0,-300.0,54.0,AAPL,155.97876423850823,0.0,0.0
2024-10-21 12:01:05+00:00,0.0,0.0,0.0,-1.0,30.0,110.0,-18.0,0.0,0.0,0.0,AAPL,-9.067617286874249,0.0,0.0
2024-10-21 12:01:06+00:00,0.0,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,103.72067632547981,0.0,0.0
2024-10-21 12:01:07+00:00,0.0,0.0,600.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,AAPL,-143.27889517328217,0.0,0.0
2024-10-21 12:01:09+00:00,1.0,500.0,10.0,400.0,15.0,29.0,110.0,10.0,110.0,100.0,AAPL,-390.35488366545206,1.0,0.0
2024-10-21 12:01:11+00:00,0.0,0.0,0.0,0.0,-15.0,-29.0,-110.0,-10.0,-110.0,-100.0,AAPL,139.3098126338164,0.0,0.0
2024-10-21 12:01:13+00:00,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,AAPL,42.2915505216015,0.0,0.0
2024-10-21 12:01:33+00:00,0.0,0.0,0.0,400.0,15.0,28.0,110.0,10.0,110.0,100.0,AAPL,-257.73714597375965,0.0,0.0
2024-10-21 12:01:35+00:00,0.0,-200.0,-28.0,-29.0,-200.0,-44.0,-154.0,-400.0,-1.0,-600.0,AAPL,487.1716076372841,0.0,0.0
2024-10-21 12:01:36+00:00,-200.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-53.82981302649632,-200.0,0.0
2024-10-21 12:01:37+00:00,200.0,1.0,150.0,253.0,283.0,31.0,154.0,400.0,1.0,600.0,AAPL,-541.1853793743961,200.0,0.0
2024-10-21 12:01:42+00:00,-200.0,199.0,28.0,0.0,28.0,200.0,44.0,154.0,400.0,1.0,AAPL,-254.23558000502936,-200.0,0.0
2024-10-21 12:01:44+00:00,0.0,0.0,0.0,200.0,-1.0,0.0,0.0,0.0,0.0,0.0,AAPL,-58.9828435299551,0.0,0.0
2024-10-21 12:01:46+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 12:01:48+00:00,0.0,0.0,0.0,200.0,-26.0,15.0,0.0,0.0,0.0,0.0,AAPL,-54.19659646820646,0.0,0.0
2024-10-21 12:01:50+00:00,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,AAPL,42.651326244783945,0.0,0.0
2024-10-21 12:01:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
2024-10-21 12:02:01+00:00,-1.0,-200.0,-150.0,-25.0,-28.0,-200.0,-44.0,-154.0,-400.0,-1.0,AAPL,396.2322835568405,-1.0,0.0
2024-10-21 12:02:05+00:00,-400.0,-150.0,-25.0,-28.0,-200.0,-44.0,-154.0,-400.0,-1.0,-600.0,AAPL,487.9899247276067,-400.0,0.0
2024-10-21 12:02:07+00:00,200.0,150.0,25.0,28.0,200.0,44.0,154.0,400.0,1.0,600.0,AAPL,-396.68126891105044,200.0,0.0
2024-10-21 12:02:17+00:00,-200.0,-150.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,-114.3760154744586,-200.0,0.0
2024-10-21 12:02:18+00:00,0.0,0.0,0.0,-28.0,0.0,-28.0,-110.0,-10.0,-110.0,-100.0,AAPL,146.67915380932496,0.0,0.0
2024-10-21 12:02:30+00:00,0.0,0.0,0.0,0.0,0.0,29.0,110.0,10.0,110.0,100.0,AAPL,-49.1667490298692,0.0,0.0
2024-10-21 12:02:44+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AAPL,41.86386109385194,0.0,0.0
